Név,Útszakasz
Akaszka utca,1
Akasztó dűlő,1
Akasztófadomb,1
Akasztófadűlő,2
Akasztóhegy szőlő,1
Akasztó szél,1
Akko utca,1
Aknász köz,1
Aknász út,3
Aknász utca,10
Akna utca,18
Akó dűlő,1
Ákom Lajos utca,1
Akona sor,1
Ákosfalva utca,1
Ákos mester utca,1
Ákospalotai út,2
Ákos utca,6
Akó utca,4
AKÖV sziget,1
Akron utca,1
"Aktív bányaterület, óvatosan közlekedj!",1
Akvamarin utca,1
Alabástrom utca,2
Alacskai út,9
Aladár,1
Aladár utca,8
Alaga Géza utca,1
Alagi major,6
Alagimajor út,1
Alagi tér,3
Alagi utca,4
alagút,1
Alagút,1
Alag utca,2
Alagút utca,19
Alájáró dűlő,1
Alajos utca,1
Alamand dűlő,4
Alapi Gáspár utca,3
Alapítók útja,1
Alapi út,2
Alapkő utca,2
Alatka dűlő,1
Alatkai utca,1
Alba köz,1
Albán utca,1
Albert Camus utca,2
Albertfalva utca,3
Albert Ferenc utca,1
Albert Flórián tér,1
Albert Flórián út,19
Albert Flórián utca,2
Albert György utca,1
Albert Gyula utca,1
Alberth Béla utca,1
Alberti Béla utca,1
Albertirsai köz,4
Albertirsai út,14
Albert István tér,1
Albert Kázmér utca,1
Albert köz,1
Albert Pál út,1
Albert Schweitzer út,1
Albert utca,11
Album köz,3
Album utca,1
Alcsisziget utca,1
Alcsi utca,1
Alcsúti út,3
Áldás utca,8
Aldebrő utca,1
Aldi parkoló,4
Áldomás utca,2
Áldott utca,1
Áldozat utca,2
Aldunasor utca,2
Alexandra Pavlovna köz,1
Alfa út,1
Alfa utca,1
Alföldi Géza utca,1
Alföldi tér,2
Alföldi utca,16
Alföld utca,2
Alfred Ostler út,1
Algír utca,2
Algőver Mihály utca,4
Algyógyi utca,3
Algyői közúti Tisza-híd,1
Algyői út,21
Alibán utca,1
Alibég út,1
Aligai út,2
Aligai utca,3
Alig járható!,1
Alig köz,1
alig látható szekérút,1
Alig utca,10
Aligvárdi utca,1
Aligvári dűlő,1
Aligvár major,1
Aligvárom dűlő,1
Alinka utca,1
Alisca utca,7
Alispántanya,2
Alispán utca,4
Ali utca,1
Alíz utca,1
Alja dűlő,1
Alkér köz,1
Alkér utca,2
Alkonyat köz,1
Alkonyat sétány,4
Alkonyat utca,4
Alkony köz,1
Alkony út,8
Alkony utca,31
Alkotás köz,1
Alkotás út,1
Alkotás utca,90
Alkotmány körút,12
Alkotmány köz,4
Alkotmány tér,29
Alkotmány út,100
Alkotmány utca,648
Alkotók útja,1
Alkotó utca,1
Állami gazdaság,2
Állami Gazdaság,1
Állami gazdasági bekötőút,1
Állami gazdaság lakótelep,1
Állami Gazdaság lakótelep,2
Államigazdaság út,1
Állami Gazdaság út,1
Állami gazdaság utca,3
Állás utca,2
Állatkerti körút,13
Allende park,2
Allende utca,1
Állomás,1
Állomási Újtelep utca,1
Állomásköz,1
Állomás köz,3
Állomás sétány,2
Állomás tér,54
Állomás út,25
Állomás utca,185
All pasports car | Bus,2
All passports,2
All passports cars,7
Állvány utca,2
Almádi út,35
Almádi utca,3
Alma dűlő,2
Almafa út,3
Almafa utca,29
Almagyar köz,1
Almagyar utca,3
Almahát utca,1
Almakerék utca,1
Alma köz,3
Almakuti dűlő,1
Almár-dűlő,1
Almárvölgyi utca,1
Almás,1
Almás dűlő,2
Almásháza utca,1
Almási Balogh Loránd utca,1
Almási János utca,1
Almási J. dűlő,1
Almási Pál utca,3
Almási út,3
Almási utca,12
Almáskert dűlő,1
Almáskertek,2
Almáskerti köz,1
Almáskerti sétány,1
Almáskerti út,2
Almáskerti utca,1
Almáskert köz,2
Almáskert út,1
Almáskert utca,19
Almás köz,2
Almáskút utca,1
Alma sor,3
Almáspatak utca,5
Almás sor,1
Almássy Kálmánné tér,1
Almássy László utca,2
Almássy Márton utca,1
Almássy telep,4
Almássy tér,3
Almássy utca,1
Almás út,8
Almás utca,12
Almásy Pál utca,1
Almásy Péter utca,1
Almásy tér,1
Almásy udvar,1
Almásy út,1
Almásy utca,4
Alma út,4
Alma utca,73
Almavirág tér,1
Almavirág utca,6
Álmosdomb utca,1
Álmos dűlő,1
Álmos fejedelem utca,1
Álmos herceg útja,3
Álmos köz,8
Álmos út,2
Álmos utca,84
Álmos vezér köz,1
Álmos vezér tere,5
Álmos vezér udvar,1
Álmos vezér utca,35
Álmos vezér útja,14
Álmosvölgy,1
Álmosvölgy utca,2
Álom köz,1
Álom utca,6
Alpár Gyula utca,1
Alpár Ignác utca,4
Alpári út,4
Alpári utca,3
Alpár köz,1
Alpár utca,9
Alpesi utca,5
Alpokalja utca,1
Alsbach Hähnlein tér,1
Alsóadacs tanya,3
Alsóapsa utca,1
Alsóárokhegy utca,1
Alsó-Avashegyi utca,2
Alsóbábonyibérc dűlő,1
Alsóbadurbokor,4
Alsóbadur utca,5
Alsóbalokány utca,2
Alsó-Benedeki pincesor,1
Alsó berek utca,1
Alsó Bölcske utca,1
Alsóboldogkáta,3
Alsóbucka utca,2
Alsóburgundia utca,1
Alsócsábor tanya,5
Alsócsincsapart utca,2
Alsódabas köz,1
Alsódabas utca,2
Alsódomb sor,1
Alsódomb utca,1
Alsó dűlő,4
Alsó dűlőút,1
Alsó Duna köz,1
Alsó-Dunapart,1
Alsó Duna-parti út,6
Alsódunasor,2
Alsó Duna sor,3
Alsó-Dunasor,1
Alsó Egese utca,1
Alsóerdei út,4
Alsóerdei utca,1
Alsóerdőalja utca,1
Alsóerdő dűlő,1
Alsó erdősor,4
Alsóerdő sor,4
Alsóerdősor út,4
Alsó erdősor utca,3
Alsóerdősor utca,16
Alsó Erdősor utca,1
Alsóerdő utca,8
Alsó Erdő utca,2
Alsóérpart,1
Alsóér utca,1
Alsófarkasd,2
Alsó Fő utca,1
Alsógazdag dűlő,1
Alsógödi köz,1
Alsógödi utca,1
Alsógyükési út,2
Alsóharaszt utca,2
Alsó Haraszt utca,1
Alsó határút,10
Alsóhatár utca,9
Alsóhavi utca,5
Alsóhegy,5
Alsóhegy dülö,1
Alsó-hegyi dűlő,1
Alsóhegyi út,5
Alsóhegyi utca,5
Alsóhegy lépcső,3
Alsóhegy utca,20
Alsó Héma utca,1
Alsó Homokerdő,2
Alsó Homokerdő utca,1
Alsó Idegér út,1
Alsó Ipari körút,2
Alsójánkahegyi utca,2
Alsó-Jánoshegyi út,4
Alsójózsai utca,4
Alsó Kálvária,1
Alsókanda dűlő,4
Alsókáposztás utca,2
Alsókara,1
Alsó-Katalin telep,1
Alsó kertek utca,1
Alsókert utca,6
Alsó kikötő sor,6
Alsókölked puszta,1
Alsókopaszhegyi utca,1
Alsó Köröspart utca,1
Alsó-Körös sor,3
Alsókörtvélyes utca,1
Alsó körút,10
Alsókövesi út,1
Alsó köz,6
Alsóköz utca,1
Alsókubin utca,1
Alsó-Kútvölgy utca,2
Alsólajos tanya,1
Alsólengyendtanya,1
Alsó Lovarda utca,1
Alsólövér utca,1
Alsómajor utca,1
Alsómakár dűlő,1
Alsó-malom utca,2
Alsómalom utca,16
Alsó Marcika út,2
Alsó mély köz,1
Alsó Mészégető utca,2
Alsómező út,6
Alsómező utca,5
Alsó Muskátli utca,3
Alsónánai utca,2
Alsó naphegy utca,1
Alsó-nyomási sor,2
Alsónyomási sor,2
Alsónyulas utca,1
Alsó Orgona utca,1
Alsóőrház köz,1
Alsóörsi határút,3
Alsóörsi út,3
Alsóőr utca,4
Alsóötház utca,1
Alsóóvári utca,4
Alsópáhoki út,5
Alsó Papírgyár telep,4
Alsó part,1
Alsópáskom-pincesor,1
Alsópatak utca,1
Alsópatyi utca,5
Alsópázsit utca,2
Alsópetény utca,1
Alsó pincesor,1
Alsópincesor út,2
Alsópincesor utca,1
Alsó Pince út,1
Alsóráda puszta,2
Alsórésziregálé,1
Alsórész telep,1
Alsórét dűlő,2
Alsóréti utca,2
Alsórét köz,1
Alsórét út,2
Alsórét utca,5
Alsórév utca,1
Alsó Rév utca,1
Alsó Sas utca,4
Alsó sétány,2
Alsósima,5
Alsó sor,1
Alsósor utca,1
Alsósóskút,4
Alsó Svábhegyi út,7
Alsószabadhegyi út,5
Alsószabadhegyi utca,3
Alsószállás dűlő,2
Alsószenttamás dűlő,9
Alsószer,14
Alsószérük utca,3
Alsószer út,1
Alsósziget utca,1
Alsószikla sor,1
Alsószinva utca,2
Alsószőlők tanya,5
Alsószőlősor utca,1
Alsószőlő út,1
Alsótabán,5
Alsótabán utca,2
Alsótanyák,2
Alsótapazd utca,1
Alsótápió,1
Alsóteleki utca,2
Alsótelek utca,1
Alsótelepi dűlő,3
Alsótelep út,1
Alsótelep utca,2
Alsótemető sor,1
Alsótemető utca,1
Alsó Törökhegy út,1
Alsó Törökvész út,4
Alsó-tó utca,1
Alsó-Tukár pincesor,2
Alsóújsor utca,1
Alsóúrrét út,2
Alsó út,4
Alsó-út,1
Alsóutaspuszta,1
Alsó utca,24
Alsóvámház utca,1
Alsó vár,1
Alsóvárosi körút,9
Alsóvár utca,1
Alsó Vár utca,2
Alsóvásár tér,1
Alsóvasút sor,1
Alsó Vasút sor,3
Alsóvölgyi út,3
Alsóvölgy utca,2
Alsó Völgy utca,2
Alsó Zöldmáli út,4
Alsózsák út,1
Alsó-Zselléri út,1
Alsó Zsigmond dűlő,1
Alsózsólyomka utca,1
Alszeghy Kálmán tér,1
Alszegi út,2
Alszer,13
Alszopori utca,1
Általér-völgyi kerékpárút,1
Altány út,1
Altáró út,1
Alteleki út,5
Althán Mihály utca,1
Althann Mihály Frigyes utca,2
Altinum utca,1
Altorjay István utca,1
Alugyári út,2
Alukohó lakótelep,1
Aluljáró,4
Aluljáró a buszpályaudvarra,1
Alumínium-hengerde utca,1
Alvég,6
Alvégi köz,2
Alvégi utca,3
Alvég utca,16
Alvinci köz,3
Alvinci út,2
Alvinci utca,3
Alvinc utca,1
Alvinczi Péter utca,1
Alvó utca,1
Alžbetin most,1
Amadé László utca,1
A magyarság útja,1
Amaliada tér,1
Amancsics Kapitány utca,1
Ámánd utca,1
Ambró Ferenc utca,6
Ambrózia utca,1
Ambrózy sétány,2
Ambrus köz,1
Ambrus László utca,1
Ambrus Mihály utca,1
Ambrus utca,3
Ambrus Zoltán utca,1
Amerikai fasor,10
Amerikai út,6
Ametiszt utca,1
Amfiteátrum utca,1
Ámor köz,1
Ámor utca,2
Ámos-hegyi vasútsor,1
Ámos Imre utca,1
AMP út,3
Amsden utca,1
Amstel köz,1
Amur köz,2
Amur út,1
Amur utca,11
A műszaki zár egykori nyomvonala,2
Ananász utca,5
Anasztázia utca,3
Ancsali út,2
Andaházi utca,2
Andalgó utca,3
An der Therme,2
Andezit utca,1
Andocs tér,2
Andocs utca,1
Andor Ilona utca,1
Andor köz,1
Andornak utca,1
Andor utca,27
Andovec / Anda hegy,1
András bíró utca,1
András dűlő,1
Andrásfa utca,1
Andrásháza,1
Andráshida utca,3
Andrási utca,2
András király utca,1
Andrássy Dénes út,2
Andrássy Gyula utca,7
Andrássy köz,1
Andrássy parkoló,1
Andrássy út,65
Andrássy utca,54
Andrásszeri utca,3
András út,1
András utca,23
Andrásvári utca,1
Andreánszky Gábor sétány,1
Andrea utca,1
Andris utca,1
Anella utca,1
Angeli András utca,1
Angeli köz,1
Angeli utca,12
Angelo Rotta rakpart,10
Ángel Sanz Briz út,14
Anger köz,1
Angolkert,5
Angolkert út,2
Angolkert utca,2
Angolna köz,1
Angolna út,2
Angolna utca,4
Angol utca,8
Angster József utca,5
Angus telep,1
Ángyádi út,1
Angyalárok utca,1
Angyal Dávid utca,2
Angyalföldi út,11
Angyalföld tér,7
Angyalfű köz,1
Angyalházi sor,1
Angyalházi út,3
Angyalházi útfél,6
Angyalhegyi utca,2
Angyali sziget,7
Angyalka utca,4
Angyal köz,1
Angyal Pál utca,1
Angyal sétány,2
Angyal utca,16
Ángyán János utca,4
Anikó utca,7
Anilin utca,1
Anita utca,1
Ánizs utca,8
Anjou bástya,1
Anjou lépcső,1
Ankara utca,4
Anker köz,2
Ankli József utca,1
Anna akna,3
Anna dűlő,1
Anna-hegy,1
Annahegyi utca,2
Annakert,1
Anna köz,3
Anna-kút,3
Annalaki utca,6
Anna-liget,7
Annamajori bekötőút,1
Annamajor utca,2
Anna-Müller-Weg,1
Anna néni setét völgye,2
Anna sétány,1
Anna sugárút,1
Anna tér,4
Anna út,1
Anna utca,50
Annavölgyi út,5
Annavölgyi utca,2
Annavölgy utca,1
Annus József köz,1
Anód utca,1
Anonymus sétány,1
Anonymus utca,7
Antal-árok,2
Antalbokor,5
Antalbokori út,1
Antal dűlő,1
Antalfa utca,1
Antal György út,3
Antalhegyi utca,3
Antalhegy lejtő,1
Antal Iván utca,1
Antal János utca,1
Antal lépcső,6
Antall József tér,1
Antall József utca,26
Antalmajor,1
Antalszállás,4
Antal Terézia utca,4
Antal utca,9
Antennapark,2
Antenna utca,1
Antilop utca,1
Anti út,1
Antónia árok,1
Antónia-árok,1
Antónia köz,1
Antónia lépcső,2
Antóniamajor,1
Antónia utca,5
Antos János utca,1
Anyácska utca,2
Ányos Pál utca,7
Ányos utca,2
Apácai út,3
Apácai utca,1
Apáca utca,11
Apáczai Csere János körtér,2
Apáczai Csere János sétány,1
Apáczai Csere János tér,1
Apáczai Csere János utca,26
Apadó utca,1
Apafája utca,4
Apafi Mihály utca,2
Apafi utca,26
Apagyi utca,5
Apahida utca,3
Apaj utca,1
Apály utca,11
Apáterdő utca,1
Apátfalvi utca,1
Apátfa utca,1
Apáthy István utca,4
Apáti Abkarovics Béla utca,1
Apatini utca,4
Apátistvánfalvai út,1
Apáti telep,4
Apáti út,3
Apátkúti-völgy,23
Apátkút utca,1
Apátsági út,2
Apátság út,1
Apátság utca,1
Apát utca,5
Apavár utca,1
Apci út,1
Apci utca,2
"""A"" peron",1
Apetlonerstraße,1
Apollónia utca,1
Apolló utca,3
Aporháza utca,1
Apor híd,1
Áporkai határ dűlő,1
Apor Péter utca,3
Apor utca,2
Apor Vilmos püspök tere,3
Apor Vilmos tér,14
Apor Vilmos utca,6
Apostolhegy dűlő,1
Apostol Pál utca,1
Apostol utca,2
Apponyi Albert utca,22
Apponyi Franciska utca,2
Apponyi György utca,2
Apponyi tér,4
Apponyi út,6
Apponyi utca,9
Április 6. utca,2
Április utca,13
Áprily Lajos tér,1
Áprily Lajos utca,6
Áprily Lajos Völgy,2
Áprily tér,1
Aprítógépgyár utca,1
Apród utca,26
Apró József utca,1
Apróka utca,1
Aprókövesi zárás,1
Apró köz,2
Apró sor,1
Apró utca,6
Aquamarin lakópark,4
Arácsi út,6
Aracsi utca,1
Aradi köz,2
Aradi major,1
Aradi sétány,4
Aradi tér,6
Aradi udvar,1
Aradi út,25
Aradi utca,185
Aradi vértanúk parkja,1
Aradi vértanúk tere,19
Aradi vértanúk út,1
Aradi vértanúk utca,13
Aradi vértanúk útja,32
Arad út,1
Arad utca,39
Áram utca,3
Arang utca,1
Aranka dűlő,1
Aranka utca,9
Aranyág dűlő,1
Aranyág utca,2
Aranyalma utca,7
Aranyász utca,2
Aranybánya utca,1
Aranybulla sétány,2
Aranybulla utca,4
Aranycsapat utca,1
Aranycsillag utca,1
Arany Dániel tér,1
Aranyegyháza dűlő,3
Aranyember utca,6
Aranyeső köz,1
Aranyeső út,1
Aranyeső utca,32
Aranyfácán utca,2
Aranyfa utca,1
Aranyforint utca,3
Aranyfürt köz,1
Aranyfürt utca,2
Aranyhalas utca,2
Aranyhal utca,3
Aranyhárs utca,1
Aranyház utca,4
Aranyhegy dűlő,1
Aranyhegyi dűlő,2
Aranyhegyi lakópark,1
Aranyhegyi lejtő,1
Aranyhegyi út,11
Aranyhegyi utca,4
Aranyhegy út,1
Aranyhegy utca,7
Aranyhíd köz,1
Aranyhíd sétány,6
Aranyhíd utca,9
Aranyhomok dűlő,1
Aranyhomoki dűlő,4
Aranyhomok köz,1
Aranyhomok utca,8
Aranyi Sándor utca,6
Arany János köz,16
Arany János köz 1,1
Arany János köz 2,1
Arany János köz 3,1
Arany János sor,4
Arany János tér,44
Arany János út,168
Arány János út,1
Arany János utca,1794
Aranykagylói út,5
Aranykalász sor,1
Aranykalász utca,5
Aranykapu utca,2
Aranykárász utca,1
Arany kert,1
Aranykert út,1
Aranykéz utca,2
Aranykor út,1
Aranykoszorú köz,1
Arany köz,3
Aranykulcs tér,1
Aranykulcs utca,1
Aranykút utca,4
Aranyláp utca,1
Arany László sétány,4
Aranylépcső,1
Aranylile utca,1
Aranylúd utca,2
Aranymeggyes szél,1
Aranyműves köz,1
Aranyodi utca,5
Aranyosgadányi út,1
Aranyos hegy,3
Aranyos-híd,1
Aranyosi dűlő,1
Aranyosi út,1
Arányosi út,3
Aranyosi utca,12
Aranyos köz,3
Aranyoskút utca,3
Aranyossziget utca,6
Aranyos utca,13
Arany Parmen utca,1
Aranypart utca,1
Aranypatak utca,5
Aranypohár dűlő,4
Arany Sándor utca,1
Aranysas utca,5
Arany Szablya lakótelep,1
Aranyszarvas utca,1
Aranysziget tér,1
Aranytallér utca,1
Aranytó utca,1
Arany út,2
Arany utca,9
Aranyvessző út,2
